410|413
198|226
432|48
159|20
351|365
122|235
293|91
300|406
265|490
274|95
494|445
29|331
435|288
45|487
255|324
11|382
104|271
41|464
14|369
71|342
376|408
435|194
473|268
206|282
108|194
96|11
319|267
122|498
392|291
334|188
287|23
15|419
381|346
440|482
171|405
270|321
294|222
312|297
239|267
291|330
51|177
414|192
287|484
57|496
90|290
263|433
119|275
429|322
472|281
106|229
104|484
133|398
171|292
469|409
186|146
84|111
152|411
86|290
105|387
350|164
192|298
151|473
128|82
273|477
402|273
142|286
120|48
372|352
67|282
163|81
164|232
491|25
344|289
57|291
169|71
449|273
26|46
315|308
118|467
277|440
156|302
188|490
28|479
472|196
434|94
405|49
7|180
223|361
230|454
242|489
139|224
52|162
76|455
426|200
148|301
190|491
258|119
295|366
181|117
216|357
6|471
496|223
24|464
452|486
448|143
153|378
479|482
182|325
192|67
17|172
396|368
494|337
26|399
177|135
236|164
237|163
302|194
55|301
214|291
313|123
146|235
241|111
225|186
76|28
134|235
242|393
268|289
327|224
441|143
454|227
3|104
365|262
200|147
131|227
30|124
5|97   
175|399
257|90 
467|170
274|276
306|90 
138|150
358|226
157|267
182|277
301|354
195|307
75|369
328|382
76|457
289|97
404|459
69|280
304|130
8|264
58|298
248|245
23|50
308|49
475|22
188|189
203|99
53|403
197|429
253|492
195|38
328|345
21|476
369|478
337|464
6|248
222|387
4|248
202|443
67|374
246|375
439|318
5|350
157|145
493|267
213|89
373|66
308|409
308|275
78|135
428|99
161|72
18|212
136|497
59|46
110|170
230|458
74|97
390|397
376|211
194|108
443|223
373|296
307|124
333|441
377|338
165|113
261|125
47|200
230|377
2|32
128|405
337|203
403|89
163|143
123|357
11|155
133|155
405|464
135|110
199|398
328|498
187|335
119|354
401|422
338|91
488|288
499|96
154|38
477|406
489|124
136|386
475|407
452|97
326|410
295|46
128|160
164|163
273|403
448|499
385|200
480|122
226|180
254|185
186|384
122|35
138|294
370|175
91|484
486|58
292|489
431|324
381|240
50|443
442|172
299|72
369|169
279|210
323|312
36|69
244|288
442|161
335|306
181|381
449|353
232|117
206|429
291|128
358|42
86|96
416|479
10|430
63|154
473|320
136|164
352|445
68|349
454|214
4|314
491|361
412|413
264|164
279|288
360|247
159|422
487|326
202|99
348|454
347|105
33|56
34|74
280|467
437|401
127|338
469|223
353|446
136|463
6|417
415|186
234|81
217|69
65|170
1|330
266|136
414|120
496|220
274|61
329|125
220|274
32|310
468|159
19|287
408|108
229|435
365|33
36|445
451|140
12|140
361|329
131|79
14|452
131|168
378|447
145|3
143|155
350|182
406|13
159|255
404|54
171|165
129|376
153|105
359|86
305|259
322|353
18|461
436|71
13|458
417|216
201|301
59|376
55|421
108|370
80|388
127|329
405|305
425|309
115|483
249|360
154|380
422|17
84|130
462|84
54|221
214|315
120|310
37|106
47|313
353|386
476|399
298|107
347|158
253|432
91|283
130|378
398|243
3|49
470|185
281|102
322|483
280|298
157|187
131|247
204|266
138|354
460|247
464|400
219|432
332|151
485|201
421|288
470|214
488|112
63|269
180|482
403|279
324|474
215|382
146|223
456|214
500|123
493|404
195|112
63|149
250|496
488|418
390|16
137|319
291|434
75|343
280|201
42|269
125|153
236|85
488|29
492|118
137|184
457|419
478|417
209|180
132|379
165|218
188|401
285|367
49|397
220|419
450|178
278|176
187|2
142|23
36|173
53|115
349|358
441|24
304|287
454|182
84|386
143|364
283|109
15|121
95|492
174|70
231|239
426|166
314|263
218|337
355|96
184|141
162|493
147|76
242|112
89|433
355|477
407|360
291|401
193|363
226|414
322|313
104|245
460|141
63|301
491|114
310|77
209|357
165|21
41|172
233|128
245|190
13|38
437|443
224|285
8|91
195|114
192|437
121|338
262|237
67|70
82|324
483|369
412|70
15|479
219|307
105|307
26|329
195|485
160|421
471|66
365|193
319|8
177|270
470|344
325|451
7|69
74|303
